URL,Título,Capa,Resumo,Autor,ISBN,Editora,Demografia,Lançamento
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-15.aspx,,,"Naruto Gold - 15
Naruto Gold #15 - de Masashi Kishimoto

Mesmo após o cancelamento do Exame Chunin, Gaara e Sasuke continuam seu duelo mortal! Durante a luta, o shinobi da Areia assume uma forma assustadora, forçando o jovem Uchiha a superar seus próprios limites!

ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Volume-15-152569.aspx,,,"Naruto Gold Volume 15
Mesmo após o cancelamento do Exame Chunin, Gaara e Sasuke continuam seu duelo mortal! Durante a luta, o shinobi da Areia assume uma forma assustadora, forçando o jovem Uchiha a superar seus próprios limites!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-16.aspx,,,"Naruto Gold - 16
Com a vida de Sakura em perigo, Naruto e Gamabunta partem para cima de Gaara transformado! Enquanto isso, a luta entre Orochimaru e o Hokage finalmente chega a um fim, mas a Vila da Folha não tem tempo para lidar com o resultado do embate, pois duas misteriosas pessoas se aproximam!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-17.aspx?oid=1287387,,,"Naruto Gold - 17
Com o fim do ataque à Folha, Jiraiya decidiu levar Naruto consigo em uma viagem. Porém, Itachi Uchiha e Kisame Hoshigaki, dois membros de uma poderosa organização chamada Akatsuki, estão atrás do garoto! Desesperado, Sasuke tenta alcançá-los, disposto a salvar seu companheiro de equipe e finalmente se vingar de seu irmão!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-18.aspx?oid=1287388,,,"Naruto Gold - 18
Além de Jiraiya, Orochimaru também procura a lendária Tsunade para que ela cure seus braços, feridos durante o confronto com o Terceiro Hokage. Para conseguir se recuperar, ele fará uma proposta tentadora a ela. Quem ganhará primeiro a confiança da ninja médica?
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-19.aspx,,,"Naruto Gold - 19
Desiludida após a morte daqueles que amava, Tsunade está prestes a ceder à oferta de Orochimaru e curar os braços do antigo companheiro. Agora, com o fim do prazo da aposta com a ""Lendária Perdedora"", Naruto precisará cumprir sua palavra em pleno campo de batalha!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-20.aspx?oid=1287389,,,"Naruto Gold - 20
Tsunade aceitou o cargo de Quinta Hokage e enfim retornou à Vila da Folha, junto de Naruto, Jiraiya e Shizune. No entanto, a recuperação de alguns shinobis não dependerá somente dos esforços dela. Angustiado com sua condição atual, Sasuke desafia Naruto para uma luta, enquanto uma nova ameaça se aproxima da vila!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-21.aspx?oid=1287390,,,"Naruto Gold - 21
Persuadido pela promessa de obter poder para realizar sua vingança, Sasuke está decidido a abandonar a Vila da Folha e partir com o Quarteto do Som ao encontro de Orochimaru. Para impedi-los, a única opção da Quinta Hokage é enviar um pelotão de cinco membros liderados pelo chunin Shikamaru!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-naruto-gold-edicao-22.aspx?oid=1297865,,,"Naruto Gold - 22
Apostando o próprio orgulho, Chouji derrota Jiroubou, mas acaba caindo também... Shikamaru, Naruto, Neji e Kiba confrontam os ninjas do som prontos para lutar sozinhos se necessário! Com seu Byakugan, Neji enfrenta os fios de Kidoumaru, que os controla como uma aranha! O combate mortal começa agora!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-Naruto-Gold-Edicao-23.aspx?oid=1287391,,,"Naruto Gold - 23
Quando achavam que haviam conseguido pegar a urna em que Sasuke repousa, Kimimaro, um inimigo desconhecido, aparece perante o grupo! As batalhas mortais de Naruto contra Kimimaro, Shikamaru contra Tayuya e Kiba e Akamaru contra Sakon têm início!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/manga-Naruto-Gold-Edicao-24.aspx,,,"Naruto Gold - 24
Enquanto a luta entre Naruto e Kimimaro avança, Sasuke surge do tonel onde repousava e sai em disparada, com suas costas voltadas para Naruto. Será tarde demais? O confronto contra os ninjas do Som continua com novas surpresas!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-25.aspx?oid=1297866,,,"Naruto Gold - 25
Buscando ainda mais poder, Sasuke deixa sua vila e seus companheiros para se juntar a Orochimaru! Naruto tenta impedi-lo à força, mas...?! Durante o combate, a mente de Sasuke é invadida por memórias de seu irmão Itachi!!


ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/mangas-naruto-gold-edicao-26.aspx,,,"Naruto Gold - 26
Sasuke pretende lutar pra valer contra Naruto, seguindo as palavras do irmão, Itachi. Se matar seu melhor amigo, obterá um grande poder. O Rasengan de Naruto e o Chidori de Sasuke se chocarão violentamente. Quem será o vencedor deste embate mortal sem precedentes?!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-27.aspx,,,"Naruto Gold - 27
Depois de uma batalha violenta, Naruto não conseguiu trazer Sasuke de volta. A partir daí, inicia-se uma nova jornada para os jovens shinobis da Vila da Folha!! E as aventuras do jovem Kakashi são apresentadas em ""Kakashi Gaiden: Infância no Campo de Batalha"".
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-28.aspx?oid=1282191,,,"Naruto Gold - 28
Passaram-se dois anos. Naruto volta mais forte para a Vila da Folha depois de terminar o treinamento com Jiraiya!! Antes que ele tivesse tempo para matar a saudade dos amigos, Gaara, o novo Kazekage, é capturado pela Akatsuki!! Tem início uma nova saga!!
ver mais...",,,Editora Panini,Shonen,
